Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
Bedspace Condo sharing for rent Ortigas Shaw Blvd mandaluyong Pasig,5000,"SMDC Fame condominium
Looking for 4 female bedspacers.  walking distance to megamall &Shangri-la , beside SHAW BLVD MRT- Ortigas area
For 6month to long term lease
-Willing to share 2 persons per room( 2 rooms)
-5,000 per head
-water and electricity not included
-6 months to 1 year contract
-1 month advance and 1 month security deposit

Thanks for viewing!

SMS at -0922-8866120","EDSA Shaw Boulevard Mayflower Street, ",2,1,Metro Manila (NCR),Mandaluyong City,"Brgy. Highway Hills, Mandaluyong City,",24.05,,0,,https://www.carousell.ph/p/bedspace-condo-sharing-for-rent-ortigas-shaw-blvd-mandaluyong-pasig-1039275846/?t-id=oqDImqh_z4_1609053403774&t-referrer_browse_type=search_results&t-referrer_request_id=7CmHbYN9blrnJEpc&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Male Bedspace in Cubao,2500,"Call or text for viewing schedule: 0917-6510917/ JOVY

Walking distance to Isetann and Gateway Mall
Near Araneta Center, Lrt/Mrt Cubao. 1 jeepney ride to Eastwood 

1month advance 1month deposit
P2,500 monthly inclusive of
- electricity and water
- cabinet
- common t.v, stove with gasul and ref
-4, 6 and 8 person per room

Flood free. Strong water. No curfew. No pets allowed",94 Oxford St.,3,1,Metro Manila (NCR),Quezon City,Cubao,25,,,,https://www.carousell.ph/p/male-bedspace-in-cubao-239837998/?t-id=oqDImqh_z4_1609053403774&t-referrer_browse_type=search_results&t-referrer_request_id=7CmHbYN9blrnJEpc&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for rent/Condo Sharing,5000,"FOR FEMALE Bedspace for rent/ Condo sharing 

Php5000/head per month ALL IN

-Victoria de Manila, Taft Avenue, Malate Manila

-with refrigerator
-with fan
-utilities(electric/water)
-free WIFI connection
-can cook

Very accessible to:
-Robinsons Manila
-PGH
-US Embassy
-Pedro gil LRT station
-Paco Market/Savemore 
-7/11
-Banks (BDO, BPI, Sec Bank)

Pm for details: 0999 358 5897",Victoria De Manila,3,1,Metro Manila (NCR),Manila,Taft Avenue,42,,,,https://www.carousell.ph/p/bedspace-for-rent-condo-sharing-1043679821/?t-id=oqDImqh_z4_1609053403774&t-referrer_browse_type=search_results&t-referrer_request_id=7CmHbYN9blrnJEpc&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for rent at SM Light,4000,"Rate is all in.
Along Edsa connected to MRT 3.
Mall at the ground and 2nd level.
Fully furnished.
Rate is all in. 
1 mo. advance and 2,000 deposit.

FOR FEMALES ONLY. 

Msg me at 09478675534, before calling.",EDSA corner Madison St. ,1,1,Metro Manila (NCR),Mandaluyong City,Barangay Barangka Ilaya,29,,0,,https://www.carousell.ph/p/bedspace-for-rent-at-sm-light-273271292/?t-id=oqDImqh_z4_1609053403774&t-referrer_browse_type=search_results&t-referrer_request_id=7CmHbYN9blrnJEpc&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Ortigas bedspace condo sharing,5000,"Fully furnished 2BR Condo Sharing for Female Bedspacers.

Unit is located in a Millenia Suites - a Condotel in Escriva Drive Ortigas, across NEDA office and next street from University of ASia Pacific ( UA&P), Tycoon,Tektite and PSE. Walking distance from Megamall, Shangri La Mall, Capitol Commons and Ayala the30th Mall. Escriva drive is few steps from Shaw Blvd Ortigas for main transportation and few walks from Ortigas n Shaw Blvd Mrt station.

Guest are allowed to cook their own meal with complete cookware and kitchen utensils and equipped with stove, microwave oven, refigerator an electric kettle. 

The fully furnished  unit is also with free Wifi and cable Tv. Tenants can also enjoy acess to hotels amenities like swimming pool, gym, game room, indoor basketball court and jogging path. 

Monthly Rental 

5 k all in! Inclusive of rental, electricity, water, condo dues, Wifi, cable TV n housemaid services.",Millenia Suites,2,2,Metro Manila (NCR),Pasig City,Escriva Drive,50,,0,,https://www.carousell.ph/p/ortigas-bedspace-condo-sharing-266506457/?t-id=oqDImqh_z4_1609053403774&t-referrer_browse_type=search_results&t-referrer_request_id=7CmHbYN9blrnJEpc&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Boarding house lady bedspace lacson avenue sta cruz manila,2000,Boarding house for lady bedspacers at lacson avenue sta. Cruz manila near sm san lazaro and dangwa flower shops,1429 Lacson Avenue,5,3,Metro Manila (NCR),Manila,Sta. Cruz,100,,,,https://www.carousell.ph/p/boarding-house-lady-bedspace-lacson-avenue-sta-cruz-manila-273298859/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=c-1ApAAoGicWDZBT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Female Bedspacer/House sharing only for 3, all included!",2900,"2 Female Bedspacers
(House sharing for 3 females only.)
Inclusive of Electricity, water, cooking gas and high speed Internet. With new bed and mattresses. Plus clothing storages. Can cook and do some laundry, no heavy laundry though and should follow an agreed schedule. 
Location: Cypress Rd., Pilar Village, LP

1 month advanced and 1 month deposit.
For more inquiries pls. text first instead of calling. 09086850044","Cypress Rd.,",3,1,Metro Manila (NCR),Las Pinas,Pilar,27,,,,https://www.carousell.ph/p/female-bedspacer-house-sharing-only-for-3-all-included-1054700522/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady bedspace,2500,"Rooms with aircon and rooms without aircon available.. 
Free WiFi
Can cook and and wash clothes
1 month advance 1 month deposit
With bed and mattress included
Accessible to all routes. Walking distance to BGC St. Luke's. Near MRT. Near Edsa. ",452 Samar Street Barangay Pitogo Makati City,5,5,Metro Manila (NCR),Makati City,Pitogo,110,,,,https://www.carousell.ph/p/lady-bedspace-241057898/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspace,2500,"Duplex style apartment. 1  apartment with aircon rooms and other separate apartment has no aircon.
Free wifi
3 toilets
The place is accessible to all routes going to BGC (walking distance to JP Morgan), Buendia, Edsa etc.. 
For more information please call 09063709158. ","452 DV Laurilla Street, Brgy. Pitogo, Makati City",2,3,Metro Manila (NCR),Makati City,Pitogo,110,,,,https://www.carousell.ph/p/lady-bedspace-1013051773/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Mandaluyong Bedspace & Room For Rent MALE Only,4000,"California Garden Square Condominium in Mandaluyong. Walking distance away from EDSA, MRT Shaw/Boni and Ortigas. Near to the mall in Ortigas, Shaw, Crossing or Pasig.

-BEDSPACE: 4,000 AIR-CONDITIONED dayshift working schedule only
-BEDSPACE: 3,500
NON-AIRCON any schedule

-ROOM: 16k ( Sharing 2-3paX in a Room possible AIRCONDITIONED ROOM
-ROOM: 7K (double decker) none-aircon

INCLUSIONS:
-UNLIMITED WI-FI 30MBPS (Optional)
-FREE Water and Electricity usage
-FREE use of swimming pool
-FULLY FURNISHED CONDO UNIT
-24/7 Security services
-Smart 09338660385 
-Globe 09173572633","California gardes square condominium, libertad corner calbayog street ",3,2,Metro Manila (NCR),Mandaluyong City,"brgy highway hills, mandaluyong city",57,,,,https://www.carousell.ph/p/mandaluyong-bedspace-room-for-rent-male-only-240184428/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Urgent need of bedspacer/s,3000,"2 storey apartment in need of bedspacer for shared room with slots available, working in Makati area.  I prefer Christian but not necessary. As long as with good attitude,  okay makisama. Pls. txt first, identify yourself before calling, for viewing. Take note: No offense, do not intend to discriminate po.  Di po ako mag aaccept ng  nagwo work sa hospitals to protect from Covid19  mga nakatira nasa compound and bahay. Work from home set up not applicable.","Sandico Street, Brgy Tejeros JP Rizal Mkati",1,1,Metro Manila (NCR),Makati City,N/A,40,,,,https://www.carousell.ph/p/urgent-need-of-bedspacer-s-1027113923/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspace with FREE FIBER WIFI and BILLS Included,2500,"Lady Bedspace with up to 100 mbps, aircon and non-ac rooms.
DETAILS:
-Fixed ALL IN, bills are included in the rent
-Drinking water with hot and cold water dispenser
-Unlimited Fiber wifi (Plan 100 MBPS with 3 wifi routers)
-Cleaner visits once a week
-Free TV use
-Free Refrigerator use
-Free use of common terrace, sala and kitchen
-3 Common CR
-Butane stove
-Free landline phone use
-No curfew
-Visitors allowed
-CCTV
-Keys provided (Must be surrendered once tenancy ends)
-No extra fee for gadgets, manual laundry, rice cooker, etc
-100 fee per use of washing machine/500 fee unli use of washing machine per month


2500 FAN ROOM (MAX OF 6):
-1 fan each
-Double deck bed with uratex foam
-Orocan drawer with lock


3000 AC ROOM (MAX OF 6):
-Aircon 14 hours a day
-Double deck bed with uratex foam
-Orocan drawers


2500 FAN ROOM (MAX OF 8):
-1 fan each
-Double deck bed with uratex foam
-Lockers


3000 FAN ROOM (MAX OF 4):
-1 fan each
-Double deck bed with uratex foam
-Lockers


3500 AC ROOM (MAX OF 2):
-Aircon 12 hours a day
-Double deck bed with uratex foam
-Drawers


1 MONTH ADVANCE, 1 MONTH DEPOSIT (MINIMUM OF 2 MONTHS)
FIRST COME FIRST SERVE
JUST SHOW 2 VALID ID OR NBI CLEARANCE/POLICE CLEARANCE

ADDRESS:
6176 Salvador Estate Dr. A Santos Avenue Brgy San Isidro Sucat Paranaque City

LANDMARK:
Green gate with pole bamboos and bougainvillea beside dental clinic and bridge. (The place can be seen from the highway already)

1 RIDE AWAY FROM CITY OF DREAMS, SM SUCAT, NAIA, MIA, SM BF, SANTANA GROVE, PASCOR, OLIVAREZ, VALLEY 2, LOPEZ,VALLEY 1, BACLARAN ETC
WALKING DISTANCE FROM EVACOM, GATCHALIAN, PATTS, AND UNIVERSAL COLLEGE

PM OR CONTACT 09956121049// 09777128208 FOR MORE INFO. THANKS",6176 Salvador Estate Sucat Brgy San Isidro,3,3,Metro Manila (NCR),Paranaque City,Brgy. San Isidro,150,,,,https://www.carousell.ph/p/lady-bedspace-with-free-fiber-wifi-and-bills-included-256370681/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Solo rooms/Bedspace,2500,"Terms: 1month adv, 1 month deposit
Included: water, electric, pede mag luto, common cr
Near San Joaquin terminal, BGC Taguig 
Ladies Only 
Contact no. 09171359038 ",101 San Bernardo st I Sanchez ,1,,Metro Manila (NCR),Pasig City,San Joaquin,N/A,,,,https://www.carousell.ph/p/solo-rooms-bedspace-1046754407/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Rooms ....bedspacers for rent,1000,"Rooms and bedspacers for rent

Near sm san mateo walking distance

Accesible to major areas...

 near batasan road...market...puregold groceries..hospitals...main road...mercury 7-11...bldgs..padala stations...food stations carinderias...restaurants etc

Pm for details or call txt 09085312916




P",JF diaz ave,2,3,Calabarzon,San Mateo,Ampid I,N/A,,,,https://www.carousell.ph/p/rooms-bedspacers-for-rent-1047059151/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
bedspace / room rentals,1234,Spaciois rooms with lounge area for both floors and veranda front and back. rooftop for lavatory and drying area,Andrea Paz Housing,2,2,Calabarzon,Calamba,Barandal,100,,,,https://www.carousell.ph/p/bedspace-room-rentals-1054274791/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=Kg-G7wgPBiQmKdrf&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
All in Furnished Spacious Female Bedspace in GMA Kamuning,4500,"Php 4500/bedspace
Rate inclusive of utilities --electricity with aircon, water, 25 mbps fiber internet, common landline, cooking, laundry
Inclusive of access and use of facilities of fully accessorized two kitchens, living, dining, two service areas, porch/patio, garden
Fully furnished with built in wardrobe and luggage cabinetry, study desks/dresser, night table, shoe rack, clothes hanger, laundry basket, 
Individual locks for drawers and cabinets
Appliances in room are study lamp, stand fan, aircon
Adjacent to new modern multipoint heated CR
Two CRs for boarders
Additional P 500 if rotating or grave yard shift worker
Additional P 1000 for permanent parking of  vehicle (sedan/SUV)
This is a boarding house in a quiet residential neighborhood with open green spaces
One minute walk to Kamuning Road, 5 mins. walk to GMA-Kamuning MRT 



Requirements:
Full Time working females preferred
Minimum 6 months stay
Updated government and employment ID
1 month property deposit, 1 month advance

Please contact:
Gela    09171369447
           85299439","#10, 11th Jamboree St. ",4,2,Metro Manila (NCR),Quezon City,Sacred Heart,150,,,,https://www.carousell.ph/p/all-in-furnished-spacious-female-bedspace-in-gma-kamuning-1047150376/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
THE DORM PASAY - FULLY FURNISHED BEDSPACE FOR WORKING PROFESSIONALS,2400,"THE DORM PASAY

-Fully furnished dormitory strictly for students and working professionals (male and female) 

-Accessible to AIMS / SM MOA / Makati / Manila / COD / SOLAIRE / OKADA

RATES:
-P2,400/HEAD/MONTH - FAN ROOM
-P3,100/HEAD/MONTH - AIRCON ROOM

DETAILS:
-Well ventilated rooms w/orbit fan & exhaust fan
-Double deck bed w/good quality mattress
-Cabinet 
-CCTV 
-4-6 pax in one room

RATE INCLUDES:
-Water
-Electricty
-Hot & cold drinking water
-WIFI
-Cable TV

TERMS & CONDITIONS:
-1 month advance & 1 month deposit
-Minimum of 3 months stay
-No cooking allowed
-No smoking within the dorm premises

LANDMARKS:
-Near Holiday Plaza (libertad corner F.B. harisson)
-5 minutes walk to Libertad LRT station

PLEASE PROVIDE THE FOLLOWING DETAILS WHEN INQUIRING:
-Gender
-Location of work
-Work profession 
-Preferred rooms (fan or ac room)
-Work schedule (for ac room)

For air-conditioned rooms, aircon will be operating 12 hours per day.  The schedule of ac operating hours for rooms will be: 
-7pm-7am
-7am-7pm

VIEWING SCHEDULE:
-Mon - Sat 7am-7pm
-Strictly by appointment only
-Preferably to be informed a day in advance

CONTACT:
-VIN
-Viber: 09276667488
-Inquiries preferably through fb page (messenger) — thedormatpasay;",N/A,1,1,Metro Manila (NCR),Pasay City,N/A,30,,,,https://www.carousell.ph/p/the-dorm-pasay-fully-furnished-bedspace-for-working-professionals-258053972/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace,2500,"for boys only,
near SM North,
Brgy bagong Pag Asa QC,
unlimited WiFi,
Free na ang meralco,
Free na ang water,
With laundry area,
common lahat,
tahimik,
With guards,
Gated,
With mother nature,
PM me mga iho BOYS ONLY po",Brgy. Bagong Pag Asa QC,N/A,1,Metro Manila (NCR),Quezon City,Bagong Pag-asa,1.11E+24,,,,https://www.carousell.ph/p/bedspace-1054212065/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female bedspace / bedspace for rent in makati near ayala,3500,"FEMALE BEDSPACE for Rent.

Location: Makati
-Near RCBC, Fire station and Makati Medical
-Near Circuit Mall
-Near Shopwise Makati
-Near Jp Rizal and Kalayaan
-One ride going Makati Ave. And Ayala. 

Non AC Room only.
Inclusions:
-Electricity (Consumable) 
-Water (Consumable) 
-Secured CCTV on hallways. 
-Mattress
-Locker
-Common kitchenette with table, chairs and utensils
-Common CR with shower
-Clothes rack and hangers
-Electric fan in kitchen
-Provision for aircon
-Mirror
-Rooftop - sampayan

-Rules and Regulation implemented for safety. 
-No curfew
-Cooking and washing of clothes are allowed 
-1month advance 1month deposit. 
-Valid Id required. 

In 4 pax
3,000 upper 
3, 500 lower

In 2 pax
Upper and lower are 3,500

Other info - Contact: 09496179066 / 09217898483
Or visit us: 3938 Yague St. Makati city",3938 Yague,2,1,Metro Manila (NCR),Makati City,Santa Cruz,50,,0,,https://www.carousell.ph/p/female-bedspace-bedspace-for-rent-in-makati-near-ayala-1056816000/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace or Room for rent,4000,"Bedspace 4k per month. (Or room for rent 12k per month) Includes bed with mattress, water and electricity, electric fan, small cabinet, drinking water, limited laundry.",Tirona St.,1,1,Metro Manila (NCR),Paranaque City,BF Homes,28,,,,https://www.carousell.ph/p/bedspace-or-room-for-rent-1026173307/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=EqIhnMmx8x6KrB8i&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
condo sharing female bedspace in mckinley hill taguig with wifi ALL IN,7500,"Lady Bedspace in Viceroy Residences, Mckinley Hill Taguig City near Bonifacio Global City!

(BRAND NEW BUILDING AND BRAND NEW UNIT)

Move in date: March 30, 2019 onwards

Option 1: Php 7,500 LAST PRICE
(ALL IN)

- Viceroy 3rd Floor
- Free access to Fully functional gym and amenities (2nd floor only)
- Fully airconditioned (Inverter)
- Beds inclusive of mattress and bed curtains for privacy with it's own power outlet and Lighting.
- With own cabinets with lock
- Own Laundry Basket
- Intercom
- Kitchen, bathroom & cooking area
- BRAND NEW UNIT AND BRAND NEW appliances
- First Tenant (6 person sharing)
- Fully furnished with Refrigerator Inverter and Microwave Oven
- Free Water with water dispenser
- Washing of clothes not allowed (can wash small clothes only) Laundry service walking distance
- Cooking allowed
- No flood, good water supply with water heater

Payment Terms:

- 2 month security deposit 
- 1 month advance
- 5 months through bank deposit
- Minimum 6 months contract, no short term please

- 2 IDs (school/company or govt)

Thank you!",Viceroy Residences,5,1,Metro Manila (NCR),Taguig,N/A,N/A,,0,,https://www.carousell.ph/p/condo-sharing-female-bedspace-in-mckinley-hill-taguig-with-wifi-all-in-1035641700/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
BEDSPACE near UST and University Belt Male or Female,4000,"3 Storey TownHouse!! 

""BEDSPACE FOR RENT""

We are located near UST (walking distance) Perpetual Help College, St. Jude, CPAR, PRC and UNIVERSITY BELT 

Trabajo Public Market, Savemore, Mercury drug, España blvd.

for ONLY 4000 Male or Female with AIRCONDITIONED ROOM (split type inverter)

Inclusions:
* Electricity
* Water
* double deck bed with uratex mattress (bring your own bedsheets, blankets and pillows)
* Individual cabinet
* 1 electricfan per person
* with toilet and bath inside the room
* free use of Refrigerator and Television

Terms of Payment:
*1 month advance & 1 month deposit

for inquiries please call or text 0.9.2.5.3.4.4.7.7.2.2",Maria Cristina,3,4,Metro Manila (NCR),Manila,Cor. Florentino,50,,,,https://www.carousell.ph/p/bedspace-near-ust-and-university-belt-male-or-female-239163507/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace/Room Rental,7000,"STUDIO ROOM for 2
WITH BATHROOM
KITCHEN & SINK
PHP 7,000/MO

Located in the boundary of Mandaluyong, Manila and San Juan
Good neighborhood & Safe environment (in a subdivision) 
Few steps from a convenience & grocery stores

1 ride to SM Megamall / Ortigas / Pasig / Boni
1 ride to SM Sta. Mesa / PUP Sta. Mesa / LRT 2 / Quiapo 

INCLUSION:
2 Stool
1 Single Bedframe
2 4-tier cabinet
Water Consumption
Wifi for 2 mobile phones 
Rangehood ready (can cook) 
Electricity (sub-metered)

*Terms & Conditions apply.
*6mos contract.",V.Mapa Ext. ,1,1,Metro Manila (NCR),Mandaluyong City,Sta. Mesa,0,,,,https://www.carousell.ph/p/bedspace-room-rental-273308829/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Female Bedspacer in San Juan City near Greenhills, Ortigas Center",2500,"For Rent: Female Bedspacer

* Near San Juan City Hall, Pinaglabanan Shrine, San Juan Arena, P. Guevarra, Ortigas
* Secured location (with CCTV)
* Free wifi- fibr, free cable tv, water dispenser, rent is inclusive of water & electricity
* With cabinet, double deck, uratex foam, electric fan

Available: 
C. Dungo St. (near San Juan City Hall)
2nd flr- 5 slots available, 4 upper deck(2,500) & 1 lower deck(2,600); (4 persons per room) 
3rd flr- 4 slots available, upperdeck; (4 persons per room- P2,600) 
4th flr- 1 slot available, upper deck; (2 persons per room- P2,900)

F. Roman St. (near Agora/Aurora Blvd.)
2nd flr- 4 slots available, bed; (2 persons per room- P2,700)
3rd flr- 4 slots available, bed; (4 persons per room- P2,700)
4th flr- 2 slots available, 1 lower bed & 2 upper bed; (4 persons per room- P2,700 & P2,600 )

Requirements:
- resume & 1 gov't ID
- 1mo deposit & 1mo advance (consumable)
- P500 keys deposit (refundable)

For questions please call or text and look for Ian 0 9 3 3 8 5 7 2 4 3 2 or 0 9 1 7 8 1 7 1 2 4 1 and look for Rose or Ian.",18C Dungo St.,5,5,Metro Manila (NCR),San Juan City,Brgy. Isabelita San Juan,270,,,,https://www.carousell.ph/p/female-bedspacer-in-san-juan-city-near-greenhills-ortigas-center-238936765/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Dorm Boarding House Bedspace Malolos City for students and employees,1300,"PTPA

Hi guys!

Baka naghahanap po kayo ng affordable and comfortable boarding house, bed space, dorm or transient. May available po for male and female. Located po sa Golden Grain Villas, Mojon, Malolos City, Bulacan (katapat lang ng Digna's Lechon).

What to bring:
Unan, kumot at gamit niyo and you're set to rent.

Inclusions:
-Free WiFi with use of landline for local calls only
-Bathroom with running water
-CCTV (for your security)
-Living room 
-Kitchen (Tables and Chairs)
-Mattress
-Desk and Ceiling Fan
-Cabinet
-Many more!


Affordable Php1,300 per month lang! 


For men and women (students, employees). We are near crossing, Bulacan state University, Puregold, Malolos bayan, CEU, La Consolation, BPC, BMC, Robinson, Walter etc.

For further inquiries, please pm Juliet Villanueva or text/call 0933-116-5616 or (044) 896-3647! Thank you and God bless!","Golden Grain Villas, Mojon, Malolos City, Bulacan",5+,3,Central Luzon,Bulacan,Mojon,0,,,,https://www.carousell.ph/p/dorm-boarding-house-bedspace-malolos-city-for-students-and-employees-241400391/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Rent Laguna,1800,"Bedspace for rent, Php 1,800.00
along the Old National Highway
Brgy. Dila, Sta. Rosa, Laguna

Convenient location
Walking distance to and from
Balibago Complex/Santa Rosa Transport Terminal.

One ride to: Asia Brewery, Nestle, Tanduay, SM Sta. Rosa, Robinsons, Pavilion, Target Mall & many others!

Inclusive of Water & Electricity :)
With Unlimited WiFi Access

Amenities:
24 hour security
CCTV cameras
Private toilet & bath per room
Toilet separate from shower
Cooking area
Laundry cages
Large backyard
Fire Safety with alarms
Professionally managed

Viewing Hours:
Monday - Friday 8:30am - 6:00pm
Saturday 8:30am - 12:00nn
CLOSED during Sundays & Holidays

NOTE: Rates are subject to change",Casita Sta Rosa Building 1669 Old National Highway,4,2,Calabarzon,Santa Rosa,Brgy. Dila,26,,,,https://www.carousell.ph/p/bedspace-for-rent-laguna-238530136/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
BEDSPACE IN BGC,4500,"Bedspace for Ladies only

Each room has a capacity of 3-4 people with own cr.
Monthly rate 4,900 per head,inclusive of wifi and water (excluding electricity). The house is inside an Exclusive gated village along Kalayaan Ave.Ext. infront of Philplans Corp.BGC,
with cctv’s and guard assigned.
The Village is few blocks from Uptown Mall (5-10 mins walk)

Terms of Payment
- 1month deposit
- 1 month advance
- 6 months contract

Others
-wifi
-cook
-laundry
-with aircon
-free use of gym equipents",Villa Kalayaan Village,2,2,Metro Manila (NCR),Taguig,BGC Taguig,48,,,,https://www.carousell.ph/p/bedspace-in-bgc-1020738189/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Condo Room / Bedspace for Rent,10000,"- good for 2-3 pax
- rent inclusive of water, cable TV and wifi
- walking distance to Santolan LRT Station, malls and supermarkets
- condo amenities include gym and swimming pool use
- with CCTVs and 24/7 security
- 100% flood-free
- one month depo, one month advance","Marcos Highway, Santolan",2,1,Metro Manila (NCR),Pasig City,Santolan,10,,,,https://www.carousell.ph/p/condo-room-bedspace-for-rent-1038849405/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
(Lady) Bedspace - 5K all-in,4500,Pay 1 month advance and first month stay,"Qubix Condominiu,",1,2,Metro Manila (NCR),Manila,"Pedro Gil St., Paco",0,,,,https://www.carousell.ph/p/lady-bedspace-5k-all-in-242140630/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace available BF Paranaque,4000,"Includes bed with mattress, water and electricity, electric fans, WiFi, laundry
Safe secure neighborhood. No curfew", ,1,1,Metro Manila (NCR),Paranaque City,BF Homes,28,,,,https://www.carousell.ph/p/bedspace-available-bf-paranaque-238567704/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Bedspace, bedspacer, boarding house for female in Pasig",1234,"* bedspacer for female only near Pasig City Hall and Pasig Palengke
* includes water and lights
* no curfew 
* kanya kanya susi
* solo locker
* near Ortigas, taguig, makat,i shaw, marikina, antipolo, caninta
* one ride to ortigas, tendisitas, marikina, cainta, market market, shaw, and ect.
* all females only
* pls. Call or txt for info, 
* you can visit the area 
just txt first b4 you call and b4 you go to area
* pls. txt 09229876374
* GOD BLESS",125b Elpidio Santos cor. Callejon 4 ,3,4,Metro Manila (NCR),Pasig City,Brgy. Sto. Tomas Pasig City,120,,,,https://www.carousell.ph/p/bedspace-bedspacer-boarding-house-for-female-in-pasig-261158606/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
